number,letter,number_location,letter_location,position,corrAns,number_mapping,letter_mapping
2,P,"[.1, -.2]","[.2, -.2]",1,f,F = odd; J = even,F = consonant; J = vowel
2,I,"[-.2, -.2]","[-.1, -.2]",2,j,F = odd; J = even,F = consonant; J = vowel
5,L,"[.1, -.2]","[.2, -.2]",1,f,F = odd; J = even,F = consonant; J = vowel
4,E,"[-.2, -.2]","[-.1, -.2]",2,j,F = odd; J = even,F = consonant; J = vowel
5,P,"[.1, -.2]","[.2, -.2]",1,f,F = odd; J = even,F = consonant; J = vowel
7,H,"[-.2, -.2]","[-.1, -.2]",2,f,F = odd; J = even,F = consonant; J = vowel
5,E,"[.1, -.2]","[.2, -.2]",1,j,F = odd; J = even,F = consonant; J = vowel
5,I,"[-.2, -.2]","[-.1, -.2]",2,j,F = odd; J = even,F = consonant; J = vowel
4,U,"[.1, -.2]","[.2, -.2]",1,j,F = odd; J = even,F = consonant; J = vowel
5,B,"[-.2, -.2]","[-.1, -.2]",2,f,F = odd; J = even,F = consonant; J = vowel
3,A,"[.1, -.2]","[.2, -.2]",1,j,F = odd; J = even,F = consonant; J = vowel
1,U,"[-.2, -.2]","[-.1, -.2]",2,j,F = odd; J = even,F = consonant; J = vowel
7,H,"[.1, -.2]","[.2, -.2]",1,f,F = odd; J = even,F = consonant; J = vowel
5,P,"[-.2, -.2]","[-.1, -.2]",2,f,F = odd; J = even,F = consonant; J = vowel
4,L,"[.1, -.2]","[.2, -.2]",1,f,F = odd; J = even,F = consonant; J = vowel
5,A,"[-.2, -.2]","[-.1, -.2]",2,j,F = odd; J = even,F = consonant; J = vowel
1,L,"[.1, -.2]","[.2, -.2]",1,f,F = odd; J = even,F = consonant; J = vowel
4,A,"[-.2, -.2]","[-.1, -.2]",2,j,F = odd; J = even,F = consonant; J = vowel
2,E,"[.1, -.2]","[.2, -.2]",1,j,F = odd; J = even,F = consonant; J = vowel
6,H,"[-.2, -.2]","[-.1, -.2]",2,f,F = odd; J = even,F = consonant; J = vowel
5,L,"[.1, -.2]","[.2, -.2]",1,f,F = odd; J = even,F = consonant; J = vowel
3,L,"[-.2, -.2]","[-.1, -.2]",2,f,F = odd; J = even,F = consonant; J = vowel
7,B,"[.1, -.2]","[.2, -.2]",1,f,F = odd; J = even,F = consonant; J = vowel
1,H,"[-.2, -.2]","[-.1, -.2]",2,f,F = odd; J = even,F = consonant; J = vowel
1,L,"[.1, -.2]","[.2, -.2]",1,f,F = odd; J = even,F = consonant; J = vowel
8,U,"[-.2, -.2]","[-.1, -.2]",2,j,F = odd; J = even,F = consonant; J = vowel
7,L,"[.1, -.2]","[.2, -.2]",1,f,F = odd; J = even,F = consonant; J = vowel
4,H,"[-.2, -.2]","[-.1, -.2]",2,f,F = odd; J = even,F = consonant; J = vowel
6,A,"[.1, -.2]","[.2, -.2]",1,j,F = odd; J = even,F = consonant; J = vowel
8,U,"[-.2, -.2]","[-.1, -.2]",2,j,F = odd; J = even,F = consonant; J = vowel
6,E,"[.1, -.2]","[.2, -.2]",1,j,F = odd; J = even,F = consonant; J = vowel
1,P,"[-.2, -.2]","[-.1, -.2]",2,f,F = odd; J = even,F = consonant; J = vowel
2,L,"[.1, -.2]","[.2, -.2]",1,f,F = odd; J = even,F = consonant; J = vowel
6,L,"[-.2, -.2]","[-.1, -.2]",2,f,F = odd; J = even,F = consonant; J = vowel
4,E,"[.1, -.2]","[.2, -.2]",1,j,F = odd; J = even,F = consonant; J = vowel
5,I,"[-.2, -.2]","[-.1, -.2]",2,j,F = odd; J = even,F = consonant; J = vowel
7,B,"[.1, -.2]","[.2, -.2]",1,f,F = odd; J = even,F = consonant; J = vowel
6,I,"[-.2, -.2]","[-.1, -.2]",2,j,F = odd; J = even,F = consonant; J = vowel
8,A,"[.1, -.2]","[.2, -.2]",1,j,F = odd; J = even,F = consonant; J = vowel
1,A,"[-.2, -.2]","[-.1, -.2]",2,j,F = odd; J = even,F = consonant; J = vowel
